,restart_pos,Car # Inside,Car # Outside,Position after Sort,,Gain/Loss,
0,1.0,22,5,2.0,1.0,-1.0,1.0
1,2.0,2,24,4.0,3.0,-1.0,1.0
2,3.0,23,14,8.0,5.0,-1.0,0.0
3,4.0,17,19,7.0,6.0,1.0,0.0
4,5.0,47,77,9.0,12.0,0.0,-1.0
5,6.0,9,45,11.0,15.0,-1.0,-1.0
6,7.0,54,20,10.0,14.0,2.0,1.0
7,8.0,12,34,16.0,13.0,-3.0,3.0
8,9.0,7,43,17.0,19.0,0.0,-1.0
9,10.0,3,4,20.0,21.0,-1.0,-1.0
10,11.0,8,99,22.0,18.0,-1.0,4.0
11,12.0,48,10,23.0,24.0,0.0,0.0
12,13.0,6,71,25.0,37.0,1.0,-12.0
13,14.0,38,11,28.0,26.0,0.0,1.0
14,15.0,42,15,29.0,30.0,0.0,0.0
15,16.0,21,31,27.0,32.0,4.0,0.0
16,17.0,51,1,31.0,33.0,3.0,0.0
17,18.0,16,41,35.0,34.0,0.0,2.0
18,1.0,22,5,2.0,1.0,-1.0,1.0
19,2.0,2,24,4.0,3.0,-1.0,1.0
20,3.0,23,14,8.0,5.0,-3.0,1.0
21,4.0,19,54,6.0,10.0,1.0,-2.0
22,5.0,17,20,7.0,14.0,2.0,-4.0
23,6.0,9,34,11.0,13.0,0.0,-1.0
24,7.0,47,77,9.0,12.0,4.0,2.0
25,8.0,12,99,16.0,18.0,-1.0,-2.0
26,9.0,7,45,17.0,15.0,0.0,3.0
27,10.0,3,1,20.0,33.0,-1.0,-13.0
28,11.0,8,43,22.0,19.0,-1.0,3.0
29,12.0,48,71,23.0,37.0,0.0,-13.0
30,13.0,6,4,25.0,21.0,0.0,5.0
31,14.0,42,11,29.0,26.0,-2.0,2.0
32,15.0,21,10,27.0,24.0,2.0,6.0
33,16.0,38,15,28.0,30.0,3.0,2.0
34,17.0,16,31,35.0,32.0,-2.0,2.0
35,18.0,51,41,31.0,34.0,4.0,2.0
36,1.0,17,10,7.0,31.0,-6.0,-13.0
37,2.0,14,43,2.0,34.0,0.0,-12.0
38,3.0,7,38,3.0,35.0,0.0,-8.0
39,4.0,45,42,8.0,32.0,-4.0,-4.0
40,5.0,99,20,5.0,33.0,0.0,3.0
41,6.0,5,,4.0,,2.0,
42,7.0,24,,1.0,,6.0,
43,8.0,22,,9.0,,-1.0,
44,9.0,2,,11.0,,-2.0,
45,10.0,23,,6.0,,4.0,
46,11.0,9,,12.0,,-1.0,
47,12.0,19,,10.0,,2.0,
48,13.0,54,,13.0,,0.0,
49,14.0,47,,14.0,,0.0,
50,15.0,12,,15.0,,0.0,
51,16.0,34,,16.0,,0.0,
52,17.0,8,,21.0,,-4.0,
53,18.0,77,,17.0,,2.0,
54,19.0,3,,23.0,,-3.0,
55,20.0,48,,18.0,,3.0,
56,21.0,1,,19.0,,4.0,
57,22.0,11,,24.0,,0.0,
58,23.0,21,,20.0,,5.0,
59,24.0,4,,22.0,,4.0,
60,25.0,51,,28.0,,1.0,
61,26.0,16,,30.0,,0.0,
62,27.0,41,,25.0,,6.0,
63,28.0,15,,27.0,,5.0,
64,29.0,6,,26.0,,7.0,
65,30.0,31,,29.0,,5.0,
66,31.0,71,,37.0,,0.0,
67,1.0,99,34,1.0,3.0,0.0,-1.0
68,2.0,19,42,2.0,5.0,2.0,-2.0
69,3.0,5,8,4.0,6.0,2.0,-1.0
70,4.0,11,24,7.0,8.0,1.0,-1.0
71,5.0,7,23,10.0,9.0,0.0,0.0
72,6.0,77,14,12.0,17.0,0.0,-6.0
73,7.0,2,45,14.0,11.0,0.0,2.0
74,8.0,54,22,15.0,13.0,1.0,2.0
75,9.0,3,9,23.0,16.0,-4.0,1.0
76,10.0,47,12,21.0,20.0,-1.0,-2.0
77,11.0,1,48,22.0,19.0,0.0,2.0
78,12.0,15,21,34.0,25.0,-10.0,-2.0
79,13.0,41,20,24.0,18.0,1.0,8.0
80,14.0,51,4,26.0,27.0,2.0,0.0
81,15.0,16,10,30.0,29.0,0.0,0.0
82,16.0,43,31,32.0,28.0,-1.0,4.0
83,17.0,38,6,31.0,33.0,3.0,0.0
84,18.0,,71,,36.0,,0.0
85,1.0,19,11,2.0,1.0,-1.0,1.0
86,2.0,5,7,4.0,3.0,-1.0,1.0
87,3.0,8,54,8.0,5.0,-3.0,1.0
88,4.0,20,48,10.0,7.0,-3.0,1.0
89,5.0,2,22,14.0,9.0,-4.0,0.0
90,6.0,9,12,13.0,6.0,-1.0,5.0
91,7.0,77,1,18.0,11.0,-4.0,2.0
92,8.0,45,10,12.0,17.0,4.0,-2.0
93,9.0,14,23,16.0,15.0,2.0,2.0
94,10.0,21,6,19.0,21.0,1.0,-2.0
95,11.0,99,3,22.0,20.0,0.0,1.0
96,12.0,31,16,23.0,27.0,1.0,-4.0
97,13.0,43,41,25.0,30.0,0.0,-4.0
98,14.0,38,42,24.0,32.0,4.0,-5.0
99,15.0,4,47,29.0,28.0,1.0,1.0
100,16.0,51,34,31.0,26.0,1.0,5.0
101,17.0,15,24,33.0,34.0,0.0,0.0
102,18.0,,71,,36.0,,0.0
103,1.0,48,24,2.0,13.0,-1.0,-2.0
104,2.0,5,99,1.0,15.0,1.0,-1.0
105,3.0,11,34,4.0,21.0,-1.0,-6.0
106,4.0,45,54,3.0,30.0,1.0,-14.0
107,5.0,12,8,5.0,16.0,0.0,2.0
108,6.0,22,4,8.0,18.0,-2.0,3.0
109,7.0,19,21,6.0,22.0,1.0,0.0
110,8.0,9,47,7.0,24.0,1.0,0.0
111,9.0,3,1,9.0,27.0,0.0,1.0
112,10.0,7,31,11.0,31.0,-1.0,1.0
113,11.0,14,,10.0,,2.0,
114,12.0,10,,14.0,,-1.0,
115,13.0,43,,12.0,,5.0,
116,14.0,38,,17.0,,2.0,
117,15.0,6,,19.0,,1.0,
118,16.0,42,,23.0,,0.0,
119,17.0,41,,20.0,,5.0,
120,18.0,16,,26.0,,0.0,
121,19.0,15,,28.0,,-1.0,
122,20.0,51,,29.0,,0.0,
123,21.0,2,,32.0,,-2.0,
124,22.0,77,,25.0,,6.0,
125,23.0,20,,37.0,,-4.0,
126,24.0,23,,34.0,,0.0,
127,25.0,71,,36.0,,0.0,
128,1.0,5,21,1.0,19.0,0.0,-2.0
129,2.0,45,54,2.0,11.0,0.0,8.0
130,3.0,11,48,3.0,20.0,0.0,1.0
131,4.0,12,77,7.0,18.0,-3.0,6.0
132,5.0,19,42,4.0,22.0,1.0,3.0
133,6.0,9,1,6.0,24.0,0.0,3.0
134,7.0,3,31,8.0,27.0,-1.0,2.0
135,8.0,22,15,9.0,32.0,-1.0,-1.0
136,9.0,43,23,13.0,37.0,-4.0,-4.0
137,10.0,14,,5.0,,5.0,
138,11.0,7,,16.0,,-5.0,
139,12.0,10,,14.0,,-2.0,
140,13.0,6,,15.0,,-2.0,
141,14.0,8,,10.0,,4.0,
142,15.0,99,,21.0,,-6.0,
143,16.0,4,,12.0,,4.0,
144,17.0,16,,28.0,,-10.0,
145,18.0,38,,17.0,,3.0,
146,19.0,24,,23.0,,-1.0,
147,20.0,41,,26.0,,-3.0,
148,21.0,47,,30.0,,-4.0,
149,22.0,2,,25.0,,3.0,
150,23.0,34,,29.0,,1.0,
151,24.0,51,,31.0,,1.0,
152,25.0,20,,33.0,,1.0,
153,26.0,71,,36.0,,0.0,
